IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.53.128:443,4,4,0,54.88,42.83,NRT
108.162.198.245:443,4,4,0,38.79,41.86,NRT
162.159.45.91:443,4,4,0,48.78,39.37,NRT
173.245.59.78:443,4,4,0,66.67,38.01,SIN
162.159.44.15:443,4,4,0,34.78,37.05,NRT
162.159.39.49:443,4,4,0,54.88,36.66,NRT
162.159.0.216:443,4,4,0,65.63,33.2,SIN
172.64.152.162:443,4,4,0,66.6,32.3,SIN
198.41.211.129:443,4,4,0,64.03,32.23,SIN
162.159.41.234:443,4,4,0,66.23,30.88,SIN
162.159.32.101:443,4,4,0,65.67,30.42,SIN
104.18.38.95:2083,4,4,0,66.03,39.48,SIN
162.159.50.83:2083,4,4,0,66.82,39.22,SIN
172.64.53.216:2083,4,4,0,35.03,38.95,NRT
162.159.56.4:2083,4,4,0,67.06,38.9,SIN
162.159.16.181:2083,4,4,0,63.62,38.21,SIN
172.64.46.201:2083,4,4,0,68.39,38.05,SIN
162.159.36.186:2083,4,4,0,68.26,37.55,SIN
162.159.61.200:2083,4,4,0,68.42,37.32,SIN
162.159.22.85:2083,4,4,0,67.81,37.21,SIN
173.245.59.98:2083,4,4,0,68.26,36.83,SIN
172.64.146.37:2083,4,4,0,64.63,36.56,SIN
173.245.58.33:2083,4,4,0,68.13,35.21,SIN
162.159.0.164:2083,4,4,0,67.28,34.69,SIN
108.162.198.249:2083,4,4,0,45.65,34.59,NRT
172.64.32.180:2083,4,4,0,68.52,34.55,SIN
162.159.21.28:2083,4,4,0,67.97,33.48,SIN
108.162.196.105:2083,4,4,0,67.81,33.12,SIN
162.159.12.96:2083,4,4,0,68.24,32.86,SIN
104.18.41.142:2083,4,4,0,66.27,30.95,SIN
172.64.50.116:2083,4,4,0,64.49,30.34,SIN
